municipality_code,municipality,institutional_coverage,institutional_deficit_available_4,cnes_health_service_deficit,cnes_multidisciplinary_staff_deficit,social_specialized_service_deficit,justice_tjpa_access_deficit,protection_network_validated_category_diversity,protection_network_specialized_non_health_services,institutional_deficit_ratio,equal_modes__equal_roles__score,equal_modes__availability_emphasis__score,equal_modes__proximity_emphasis__score,road_emphasis__equal_roles__score,road_emphasis__availability_emphasis__score,road_emphasis__proximity_emphasis__score,water_emphasis__equal_roles__score,water_emphasis__availability_emphasis__score,water_emphasis__proximity_emphasis__score,air_emphasis__equal_roles__score,air_emphasis__availability_emphasis__score,air_emphasis__proximity_emphasis__score
1500107,Abaetetuba,3,1,0,0,0,0,3.0,2.0,0.3333333333333333,0.7637917637917637,0.7433307433307432,0.7842527842527842,0.7432983682983684,0.7078477078477079,0.7787490287490288,0.7365967365967366,0.7222222222222222,0.750971250971251,0.8114801864801865,0.7999222999222999,0.823038073038073
1500131,Abel Figueiredo,4,1,2,0,1,1,0.0,0.0,0.25,0.3166278166278166,0.2553742553742553,0.3778813778813778,0.3790792540792541,0.3191530691530691,0.4390054390054389,0.3044871794871795,0.2362082362082361,0.3727661227661227,0.2663170163170163,0.2107614607614607,0.3218725718725718
1500206,Acará,3,2,0,0,0,0,0.0,0.0,0.6666666666666666,0.4533799533799533,0.4291634291634291,0.4775964775964775,0.4571678321678321,0.4395881895881895,0.4747474747474747,0.4991258741258741,0.4834887334887334,0.5147630147630147,0.4038461538461538,0.3644133644133643,0.4432789432789432
1500305,Afuá,4,1,1,0,0,0,0.0,0.0,0.25,0.2402874902874902,0.2369852369852369,0.2435897435897435,0.1841491841491841,0.1824009324009324,0.1858974358974359,0.3320221445221445,0.3344988344988345,0.3295454545454545,0.2046911421911422,0.194055944055944,0.2153263403263403
1500347,Água Azul do Norte,4,2,1,0,0,1,0.0,0.0,0.5,0.2816627816627817,0.2514892514892514,0.3118363118363118,0.3414918414918415,0.3232323232323232,0.3597513597513597,0.2485431235431235,0.2134809634809635,0.2836052836052836,0.2549533799533799,0.2177544677544677,0.2921522921522921
1500404,Alenquer,3,3,1,0,0,0,0.0,0.0,1.0,0.3578088578088577,0.4423724423724423,0.2732452732452732,0.2937062937062937,0.3626651126651126,0.2247474747474747,0.3636363636363636,0.4508547008547008,0.2764180264180264,0.416083916083916,0.5135975135975135,0.3185703185703185
1500503,Almeirim,3,2,1,0,0,0,0.0,0.0,0.6666666666666666,0.4891219891219891,0.563066563066563,0.4151774151774151,0.3834498834498834,0.4444444444444444,0.3224553224553224,0.5099067599067599,0.601010101010101,0.4188034188034188,0.574009324009324,0.6437451437451437,0.5042735042735043
1500602,Altamira,3,1,0,0,0,0,4.0,3.0,0.3333333333333333,0.290986790986791,0.356125356125356,0.2258482258482258,0.2540792540792541,0.3014763014763014,0.2066822066822066,0.2677738927738927,0.3278943278943279,0.2076534576534576,0.3511072261072261,0.439005439005439,0.2632090132090132
1500701,Anajás,3,2,1,0,0,0,0.0,0.0,0.6666666666666666,0.2177544677544677,0.2219632219632219,0.2135457135457135,0.1716200466200466,0.174048174048174,0.1691919191919191,0.3174533799533799,0.3247863247863248,0.3101204351204351,0.1641899766899766,0.167055167055167,0.1613247863247863
1500800,Ananindeua,4,1,0,0,0,0,3.0,3.0,0.25,0.4957264957264957,0.4356384356384356,0.5558145558145557,0.460955710955711,0.4094794094794095,0.5124320124320124,0.5434149184149184,0.4966977466977467,0.5901320901320901,0.4828088578088578,0.4007381507381507,0.5648795648795648
1500859,Anapu,3,3,1,0,0,1,0.0,0.0,1.0,0.4296814296814297,0.4926184926184926,0.3667443667443667,0.3650932400932401,0.4137529137529138,0.3164335664335664,0.4600815850815851,0.5168997668997669,0.4032634032634032,0.4638694638694639,0.5472027972027972,0.3805361305361305
1500909,Augusto Corrêa,3,2,1,0,0,1,0.0,0.0,0.6666666666666666,0.376068376068376,0.3693343693343693,0.3828023828023827,0.4341491841491841,0.4395881895881895,0.4287101787101787,0.405011655011655,0.3867521367521367,0.4232711732711732,0.289044289044289,0.2816627816627817,0.2964257964257964
1500958,Aurora do Pará,2,2,1,0,0,0,1.0,0.0,1.0,0.7156177156177156,0.7246827246827245,0.7065527065527064,0.7220279720279721,0.7416472416472416,0.7024087024087025,0.6529720279720279,0.6487956487956488,0.657148407148407,0.7718531468531469,0.7836052836052836,0.76010101010101
1501006,Aveiro,3,3,2,2,0,0,0.0,0.0,1.0,0.3088578088578089,0.297073297073297,0.3206423206423206,0.2753496503496503,0.2647630147630148,0.2859362859362859,0.3924825174825175,0.3855866355866355,0.3993783993783993,0.2587412587412587,0.2408702408702408,0.2766122766122766
1501105,Bagre,4,1,1,0,0,0,0.0,0.0,0.25,0.2086247086247086,0.1877751877751877,0.2294742294742294,0.1914335664335664,0.1728826728826728,0.2099844599844599,0.2482517482517482,0.2297979797979797,0.2667055167055167,0.1861888111888111,0.1606449106449106,0.2117327117327117
1501204,Baião,4,1,1,0,0,0,1.0,0.0,0.25,0.3123543123543124,0.2965552965552965,0.3281533281533281,0.3295454545454546,0.3243978243978244,0.3346930846930847,0.3391608391608391,0.32012432012432,0.3581973581973581,0.2683566433566433,0.2451437451437451,0.2915695415695415
1501253,Bannach,3,3,2,1,1,1,0.0,0.0,1.0,0.5174825174825175,0.5268065268065267,0.508158508158508,0.5148601398601398,0.5326340326340326,0.497086247086247,0.4195804195804196,0.416083916083916,0.423076923076923,0.618006993006993,0.6317016317016316,0.6043123543123542
1501303,Barcarena,4,0,0,0,0,0,3.0,2.0,0.0,0.6048951048951049,0.5495985495985495,0.6601916601916601,0.6433566433566433,0.5928515928515927,0.6938616938616938,0.625,0.5819735819735818,0.668026418026418,0.5463286713286714,0.4739704739704739,0.6186868686868686
1501402,Belém,4,0,0,0,0,1,8.0,15.0,0.0,0.6857031857031857,0.6796166796166796,0.6917896917896917,0.6121794871794872,0.6029526029526029,0.6214063714063713,0.6885198135198135,0.6814296814296814,0.6956099456099456,0.7564102564102564,0.7544677544677545,0.7583527583527583
1501451,Belterra,3,3,1,0,0,1,0.0,0.0,1.0,0.5567210567210567,0.5799015799015799,0.5335405335405334,0.5888694638694638,0.5945998445998446,0.5831390831390831,0.5256410256410257,0.5347707847707848,0.5165112665112666,0.5556526806526807,0.6103341103341103,0.500971250971251
1501501,Benevides,4,3,0,0,0,0,0.0,0.0,0.75,0.8717948717948717,0.8681688681688682,0.8754208754208752,0.8924825174825175,0.8865578865578865,0.8984071484071483,0.8234265734265734,0.8197358197358197,0.8271173271173271,0.8994755244755245,0.8982128982128982,0.9007381507381508
1501576,Bom Jesus do Tocantins,3,2,1,0,0,1,0.0,0.0,0.6666666666666666,0.3123543123543123,0.2432012432012432,0.3815073815073815,0.319055944055944,0.2651515151515151,0.3729603729603729,0.3155594405594405,0.2365967365967365,0.3945221445221444,0.3024475524475524,0.2278554778554778,0.377039627039627
1501600,Bonito,3,3,2,0,0,0,1.0,0.0,1.0,0.5827505827505828,0.5234395234395234,0.642061642061642,0.6512237762237763,0.6087801087801087,0.6936674436674436,0.576048951048951,0.513014763014763,0.6390831390831391,0.5209790209790209,0.4485236985236985,0.5934343434343434
1501709,Bragança,3,0,0,0,0,1,1.0,1.0,0.0,0.4809634809634809,0.4307174307174307,0.5312095312095311,0.5565268065268065,0.5083527583527583,0.6047008547008547,0.488053613053613,0.4357031857031856,0.5404040404040403,0.3983100233100233,0.3480963480963481,0.4485236985236985
