municipality_code,municipality,mean_priority_score,mean_priority_rank,best_priority_rank,worst_priority_rank,priority_rank_range,top_10_frequency,top_quartile_frequency,bottom_quartile_frequency,priority_stability_profile,mean_institutional_contribution,mean_service_network_contribution,mean_transport_barrier_contribution,dominant_institutional_frequency,dominant_service_network_frequency,dominant_transport_barrier_frequency,dominant_dimension_across_scenarios
1500107,Abaetetuba,0.1619743604294166,139.125,133,143,10,0.0,0.0,1.0,robust_lower_relative_priority,0.07638888888888891,0.006849392804448966,0.07873607873607874,0.4583333333333333,0.0,0.5416666666666666,transport_barrier
1500131,Abel Figueiredo,0.5493701584610676,54.625,20,97,77,0.0,0.3125,0.0,scenario_sensitive_higher_priority,0.0361111111111111,0.28546831955922863,0.22779072779072781,0.0,0.75,0.25,service_network
1500206,Acará,0.4627622377622378,82.85416666666667,60,98,38,0.0,0.0,0.0,intermediate_or_scenario_sensitive,0.19722222222222222,0.08333333333333333,0.18220668220668224,0.6666666666666666,0.0,0.3333333333333333,institutional
1500305,Afuá,0.3912769890042617,99.95833333333331,63,118,55,0.0,0.0,0.3125,intermediate_or_scenario_sensitive,0.0361111111111111,0.10192837465564736,0.2532375032375032,0.0,0.0,1.0,transport_barrier
1500347,Água Azul do Norte,0.5441518918791646,55.9375,36,83,47,0.0,0.0208333333333333,0.0,intermediate_or_scenario_sensitive,0.11944444444444442,0.1852617079889807,0.23944573944573944,0.125,0.25,0.625,transport_barrier
1500404,Alenquer,0.6493254220526947,29.125,9,53,44,0.0208333333333333,0.6458333333333334,0.0,scenario_sensitive_higher_priority,0.3333333333333333,0.10192837465564736,0.21406371406371408,0.7708333333333334,0.0,0.22916666666666666,institutional
1500503,Almeirim,0.4694432671705398,80.25,47,108,61,0.0,0.0,0.0,intermediate_or_scenario_sensitive,0.19722222222222222,0.10192837465564736,0.17029267029267028,0.4583333333333333,0.20833333333333334,0.3333333333333333,institutional
1500602,Altamira,0.315430631582317,118.79166666666669,88,131,43,0.0,0.0,0.875,robust_lower_relative_priority,0.07638888888888891,0.002704006355691733,0.23633773633773636,0.0,0.0,1.0,transport_barrier
1500701,Anajás,0.5598991076263804,51.97916666666666,22,73,51,0.0,0.1458333333333333,0.0,intermediate_or_scenario_sensitive,0.19722222222222222,0.10192837465564736,0.26074851074851074,0.25,0.0,0.75,transport_barrier
1500800,Ananindeua,0.2087789447340009,134.47916666666666,123,139,16,0.0,0.0,1.0,robust_lower_relative_priority,0.0361111111111111,0.0045766655317217,0.16809116809116809,0.0,0.0,1.0,transport_barrier
1500859,Anapu,0.708701231428504,14.75,6,37,31,0.25,0.9791666666666666,0.0,robust_higher_capacity_strengthening_priority,0.3333333333333333,0.1852617079889807,0.1901061901061901,0.5416666666666666,0.25,0.20833333333333334,institutional
1500909,Augusto Corrêa,0.590461138188411,43.895833333333336,23,57,34,0.0,0.2083333333333333,0.0,intermediate_or_scenario_sensitive,0.19722222222222222,0.1852617079889807,0.20797720797720798,0.3333333333333333,0.25,0.4166666666666667,transport_barrier
1500958,Aurora do Pará,0.4993910087755848,73.625,40,106,66,0.0,0.0,0.0,intermediate_or_scenario_sensitive,0.3333333333333333,0.07126358064815673,0.0947940947940948,1.0,0.0,0.0,institutional
1501006,Aveiro,0.7241823832732924,11.229166666666666,4,24,20,0.5625,1.0,0.0,robust_higher_capacity_strengthening_priority,0.3333333333333333,0.16046831955922863,0.23038073038073037,0.75,0.0,0.25,institutional
1501105,Bagre,0.4018312495585223,96.35416666666669,62,115,53,0.0,0.0,0.1875,intermediate_or_scenario_sensitive,0.0361111111111111,0.10192837465564736,0.2637917637917638,0.0,0.0,1.0,transport_barrier
1501204,Baião,0.3365899209744972,117.16666666666669,92,126,34,0.0,0.0,0.8125,robust_lower_relative_priority,0.0361111111111111,0.07126358064815673,0.22921522921522922,0.0,0.0,1.0,transport_barrier
1501253,Bannach,0.8193630359539449,3.3541666666666665,1,20,19,0.9375,1.0,0.0,robust_higher_capacity_strengthening_priority,0.3333333333333333,0.32519054178145085,0.16083916083916086,0.6666666666666666,0.25,0.08333333333333333,institutional
1501303,Barcarena,0.1385510245060806,141.1875,131,144,13,0.0,0.0,1.0,robust_lower_relative_priority,0.0,0.006849392804448966,0.1317016317016317,0.0,0.0,1.0,transport_barrier
1501402,Belém,0.1880989380989381,136.9375,130,141,11,0.0,0.0,1.0,robust_lower_relative_priority,0.0,0.08333333333333333,0.10476560476560477,0.0,0.375,0.625,transport_barrier
1501451,Belterra,0.6663546890819619,24.791666666666668,15,47,32,0.0,0.875,0.0,robust_higher_capacity_strengthening_priority,0.3333333333333333,0.1852617079889807,0.14775964775964776,0.75,0.25,0.0,institutional
1501501,Benevides,0.3955128205128205,103.58333333333331,71,131,60,0.0,0.0,0.4166666666666667,intermediate_or_scenario_sensitive,0.26944444444444443,0.08333333333333333,0.04273504273504275,1.0,0.0,0.0,institutional
1501576,Bom Jesus do Tocantins,0.6116991594264322,37.020833333333336,17,54,37,0.0,0.4791666666666667,0.0,scenario_sensitive_higher_priority,0.19722222222222222,0.1852617079889807,0.22921522921522922,0.25,0.25,0.5,transport_barrier
1501600,Bonito,0.560553331301544,53.9375,28,82,54,0.0,0.1666666666666666,0.0,intermediate_or_scenario_sensitive,0.3333333333333333,0.08813685888507133,0.1390831390831391,0.9791666666666666,0.0,0.020833333333333332,institutional
1501709,Bragança,0.2754281870854904,127.72916666666669,107,137,30,0.0,0.0,0.9791666666666666,robust_lower_relative_priority,0.0,0.10241601407331742,0.173012173012173,0.0,0.22916666666666666,0.7708333333333334,transport_barrier
1501725,Brasil Novo,0.6307303807303809,33.583333333333336,12,59,47,0.0,0.625,0.0,scenario_sensitive_higher_priority,0.3333333333333333,0.08333333333333333,0.21406371406371408,0.75,0.0,0.25,institutional
1501758,Brejo Grande do Araguaia,0.6017659108568202,41.1875,27,60,33,0.0,0.375,0.0,scenario_sensitive_higher_priority,0.19722222222222222,0.20213498622589532,0.20240870240870243,0.25,0.375,0.375,tie:service_network+transport_barrier
1501782,Breu Branco,0.4491647241647241,88.39583333333333,66,106,40,0.0,0.0,0.0,intermediate_or_scenario_sensitive,0.19722222222222222,0.08333333333333333,0.16860916860916864,0.7083333333333334,0.0,0.2916666666666667,institutional
1501808,Breves,0.20631433173568,134.79166666666666,118,139,21,0.0,0.0,1.0,robust_lower_relative_priority,0.0,0.008956134377482666,0.19735819735819737,0.0,0.0,1.0,transport_barrier
1501907,Bujaru,0.4505762755762756,85.41666666666667,65,101,36,0.0,0.0,0.0,intermediate_or_scenario_sensitive,0.11944444444444442,0.16666666666666666,0.1644651644651645,0.25,0.4166666666666667,0.3333333333333333,service_network
1501956,Cachoeira do Piriá,0.7159532386805112,12.9375,7,24,17,0.2708333333333333,1.0,0.0,robust_higher_capacity_strengthening_priority,0.3333333333333333,0.1852617079889807,0.19735819735819737,0.5,0.25,0.25,institutional
1502004,Cachoeira do Arari,0.4045242636151727,99.70833333333331,86,114,28,0.0,0.0,0.1041666666666666,intermediate_or_scenario_sensitive,0.11944444444444442,0.11880165289256196,0.1662781662781663,0.25,0.25,0.5,transport_barrier
1502103,Cametá,0.1234597851170884,142.625,141,144,3,0.0,0.0,1.0,robust_lower_relative_priority,0.0,0.0190826807399841,0.10437710437710439,0.0,0.0,1.0,transport_barrier
1502152,Canaã dos Carajás,0.2290789134634895,132.58333333333334,124,138,14,0.0,0.0,1.0,robust_lower_relative_priority,0.0,0.03767772206229813,0.1914011914011914,0.0,0.0,1.0,transport_barrier
1502202,Capanema,0.1061067677640711,143.22916666666666,138,144,6,0.0,0.0,1.0,robust_lower_relative_priority,0.0,0.0190826807399841,0.08702408702408704,0.0,0.0,1.0,transport_barrier
1502301,Capitão Poço,0.4134097384097385,96.39583333333331,74,118,44,0.0,0.0,0.1875,intermediate_or_scenario_sensitive,0.11944444444444442,0.16666666666666666,0.12729862729862731,0.25,0.5,0.25,service_network
1502400,Castanhal,0.3094154960727994,120.85416666666669,97,134,37,0.0,0.0,0.75,robust_lower_relative_priority,0.19722222222222222,0.0190826807399841,0.09311059311059311,0.9166666666666666,0.0,0.08333333333333333,institutional
1502509,Chaves,0.3421052011961102,115.64583333333331,85,126,41,0.0,0.0,0.8333333333333334,robust_lower_relative_priority,0.0361111111111111,0.11880165289256196,0.1871924371924372,0.0,0.25,0.75,transport_barrier
